,date,datatype,station,attributes,value
0,2000-12-14T00:00:00,PRCP,GHCND:USC00474174,"P,,0,0700",0
1,2000-12-14T00:00:00,SNOW,GHCND:USC00474174,"P,,0,",0
2,2000-12-14T00:00:00,SNWD,GHCND:USC00474174,",,0,",330
3,2000-12-14T00:00:00,TMAX,GHCND:USC00474174,",,0,0700",-22
4,2000-12-14T00:00:00,TMIN,GHCND:USC00474174,",,0,0700",-106
5,2000-12-14T00:00:00,TOBS,GHCND:USC00474174,",,0,0700",-111
6,2000-12-14T00:00:00,PRCP,GHCND:USC00474195,",,0,0700",20
7,2000-12-14T00:00:00,SNOW,GHCND:USC00474195,",,0,",25
8,2000-12-14T00:00:00,TMAX,GHCND:USC00474195,",,0,0700",-89
9,2000-12-14T00:00:00,TMIN,GHCND:USC00474195,",,0,0700",-183
10,2000-12-14T00:00:00,TOBS,GHCND:USC00474195,",,0,0700",-111
11,2000-12-14T00:00:00,PRCP,GHCND:USC00474366,",,0,0730",33
12,2000-12-14T00:00:00,SNOW,GHCND:USC00474366,",,0,",38
13,2000-12-14T00:00:00,SNWD,GHCND:USC00474366,",,0,",152
14,2000-12-14T00:00:00,PRCP,GHCND:USC00474373,",,0,0700",28
15,2000-12-14T00:00:00,SNOW,GHCND:USC00474373,",,0,",43
16,2000-12-14T00:00:00,SNWD,GHCND:USC00474373,",,0,",152
17,2000-12-14T00:00:00,TMAX,GHCND:USC00474373,",,0,0700",-133
18,2000-12-14T00:00:00,TMIN,GHCND:USC00474373,",,0,0700",-206
19,2000-12-14T00:00:00,TOBS,GHCND:USC00474373,",,0,0700",-144
20,2000-12-14T00:00:00,PRCP,GHCND:USC00474383,",,0,0700",20
21,2000-12-14T00:00:00,SNOW,GHCND:USC00474383,",,0,",51
22,2000-12-14T00:00:00,SNWD,GHCND:USC00474383,",,0,",305
23,2000-12-14T00:00:00,PRCP,GHCND:USC00474404,",,0,0800",25
24,2000-12-14T00:00:00,SNOW,GHCND:USC00474404,",,0,",25
25,2000-12-14T00:00:00,PRCP,GHCND:USC00474457,",,0,1900",25
26,2000-12-14T00:00:00,SNOW,GHCND:USC00474457,",,0,",25
27,2000-12-14T00:00:00,SNWD,GHCND:USC00474457,",,0,",406
28,2000-12-14T00:00:00,TMAX,GHCND:USC00474457,",,0,1900",-11
29,2000-12-14T00:00:00,TMIN,GHCND:USC00474457,",,0,1900",-94
30,2000-12-14T00:00:00,TOBS,GHCND:USC00474457,",,0,1900",-94
31,2000-12-14T00:00:00,SNOW,GHCND:USC00474482,"P,,0,",0
32,2000-12-14T00:00:00,SNWD,GHCND:USC00474482,",,0,",254
33,2000-12-14T00:00:00,TMAX,GHCND:USC00474482,",,0,0700",-50
34,2000-12-14T00:00:00,TMIN,GHCND:USC00474482,",I,0,0700",-139
35,2000-12-14T00:00:00,TOBS,GHCND:USC00474482,",I,0,0700",-139
36,2000-12-14T00:00:00,PRCP,GHCND:USC00474523,",,0,0800",28
37,2000-12-14T00:00:00,SNOW,GHCND:USC00474523,",,0,",76
38,2000-12-14T00:00:00,SNWD,GHCND:USC00474523,",,0,",127
39,2000-12-14T00:00:00,TMAX,GHCND:USC00474523,",,0,0800",-111
40,2000-12-14T00:00:00,TMIN,GHCND:USC00474523,",,0,0800",-183
41,2000-12-14T00:00:00,TOBS,GHCND:USC00474523,",,0,0800",-111
42,2000-12-14T00:00:00,PRCP,GHCND:USC00474546,",,0,0800",33
43,2000-12-14T00:00:00,SNOW,GHCND:USC00474546,",,0,",33
44,2000-12-14T00:00:00,SNWD,GHCND:USC00474546,",,0,",254
45,2000-12-14T00:00:00,TMAX,GHCND:USC00474546,",,0,0800",-111
46,2000-12-14T00:00:00,TMIN,GHCND:USC00474546,",,0,0800",-194
47,2000-12-14T00:00:00,TOBS,GHCND:USC00474546,",,0,0800",-139
48,2000-12-14T00:00:00,PRCP,GHCND:USC00474582,",,0,0700",28
49,2000-12-14T00:00:00,SNOW,GHCND:USC00474582,",,0,",58
50,2000-12-14T00:00:00,SNWD,GHCND:USC00474582,",,0,",152
51,2000-12-14T00:00:00,TMAX,GHCND:USC00474582,",,0,0700",-156
52,2000-12-14T00:00:00,TMIN,GHCND:USC00474582,",,0,0700",-239
53,2000-12-14T00:00:00,TOBS,GHCND:USC00474582,",,0,0700",-167
54,2000-12-14T00:00:00,PRCP,GHCND:USC00474829,"P,,0,0730",0
55,2000-12-14T00:00:00,SNOW,GHCND:USC00474829,"P,,0,",0
56,2000-12-14T00:00:00,SNWD,GHCND:USC00474829,"P,,0,",0
57,2000-12-14T00:00:00,PRCP,GHCND:USC00474894,",,0,1700",10
58,2000-12-14T00:00:00,SNOW,GHCND:USC00474894,",,0,",38
59,2000-12-14T00:00:00,SNWD,GHCND:USC00474894,",,0,",152
60,2000-12-14T00:00:00,TMAX,GHCND:USC00474894,",,0,1700",-122
61,2000-12-14T00:00:00,TMIN,GHCND:USC00474894,",,0,1700",-244
62,2000-12-14T00:00:00,TOBS,GHCND:USC00474894,",,0,1700",-144
63,2000-12-14T00:00:00,PRCP,GHCND:USC00474937,",,0,0600",25
64,2000-12-14T00:00:00,SNOW,GHCND:USC00474937,",,0,",13
65,2000-12-14T00:00:00,SNWD,GHCND:USC00474937,",,0,",203
66,2000-12-14T00:00:00,TMAX,GHCND:USC00474937,",,0,1900",-78
67,2000-12-14T00:00:00,TMIN,GHCND:USC00474937,",,0,1900",-150
68,2000-12-14T00:00:00,TOBS,GHCND:USC00474937,",,0,1900",-89
69,2000-12-14T00:00:00,PRCP,GHCND:USC00474953,",,0,0700",28
70,2000-12-14T00:00:00,SNOW,GHCND:USC00474953,",,0,",33
71,2000-12-14T00:00:00,SNWD,GHCND:USC00474953,",,0,",127
72,2000-12-14T00:00:00,TMAX,GHCND:USC00474953,",,0,0700",-111
73,2000-12-14T00:00:00,TMIN,GHCND:USC00474953,",,0,0700",-194
74,2000-12-14T00:00:00,TOBS,GHCND:USC00474953,",,0,0700",-144
75,2000-12-14T00:00:00,PRCP,GHCND:USC00475017,"P,,0,1800",0
76,2000-12-14T00:00:00,TMAX,GHCND:USC00475017,",,0,1800",-67
77,2000-12-14T00:00:00,TMIN,GHCND:USC00475017,",,0,1800",-133
78,2000-12-14T00:00:00,TOBS,GHCND:USC00475017,",,0,1800",-89
79,2000-12-14T00:00:00,PRCP,GHCND:USC00475091,",,0,0600",18
80,2000-12-14T00:00:00,SNWD,GHCND:USC00475091,",,0,",127
81,2000-12-14T00:00:00,TMAX,GHCND:USC00475091,",,0,0600",-78
82,2000-12-14T00:00:00,TMIN,GHCND:USC00475091,",,0,0600",-172
83,2000-12-14T00:00:00,TOBS,GHCND:USC00475091,",,0,0600",-78
84,2000-12-14T00:00:00,PRCP,GHCND:USC00475120,",,0,0700",23
85,2000-12-14T00:00:00,SNOW,GHCND:USC00475120,",,0,",38
86,2000-12-14T00:00:00,SNWD,GHCND:USC00475120,",,0,0700",152
87,2000-12-14T00:00:00,TMAX,GHCND:USC00475120,",,0,0700",-128
88,2000-12-14T00:00:00,TMIN,GHCND:USC00475120,",,0,0700",-211
89,2000-12-14T00:00:00,TOBS,GHCND:USC00475120,",,0,0700",-150
90,2000-12-14T00:00:00,PRCP,GHCND:USC00475164,",,0,0700",25
91,2000-12-14T00:00:00,SNOW,GHCND:USC00475164,",,0,",25
92,2000-12-14T00:00:00,SNWD,GHCND:USC00475164,",,0,",229
93,2000-12-14T00:00:00,TMAX,GHCND:USC00475164,",,0,0700",-133
94,2000-12-14T00:00:00,TMIN,GHCND:USC00475164,",,0,0700",-217
95,2000-12-14T00:00:00,TOBS,GHCND:USC00475164,",,0,0700",-133
96,2000-12-14T00:00:00,PRCP,GHCND:USC00475178,",,0,0700",25
97,2000-12-14T00:00:00,SNOW,GHCND:USC00475178,",,0,",25
98,2000-12-14T00:00:00,SNWD,GHCND:USC00475178,",,0,",178
99,2000-12-14T00:00:00,TMAX,GHCND:USC00475178,",,0,0700",-128
100,2000-12-14T00:00:00,TMIN,GHCND:USC00475178,",I,0,0700",-161
101,2000-12-14T00:00:00,TOBS,GHCND:USC00475178,",,0,0700",-128
102,2000-12-14T00:00:00,PRCP,GHCND:USC00475255,",,0,0800",25
103,2000-12-14T00:00:00,SNWD,GHCND:USC00475255,",,0,",178
104,2000-12-14T00:00:00,TMAX,GHCND:USC00475255,",,0,0800",-139
105,2000-12-14T00:00:00,TMIN,GHCND:USC00475255,",,0,0800",-256
106,2000-12-14T00:00:00,TOBS,GHCND:USC00475255,",,0,0800",-194
107,2000-12-14T00:00:00,PRCP,GHCND:USC00475286,",,0,0800",23
108,2000-12-14T00:00:00,SNOW,GHCND:USC00475286,",,0,",15
109,2000-12-14T00:00:00,SNWD,GHCND:USC00475286,",,0,",178
110,2000-12-14T00:00:00,TMAX,GHCND:USC00475286,",,0,0800",-122
111,2000-12-14T00:00:00,TMIN,GHCND:USC00475286,",,0,0800",-222
112,2000-12-14T00:00:00,TOBS,GHCND:USC00475286,",,0,0800",-161
113,2000-12-14T00:00:00,PRCP,GHCND:USC00475335,",,0,1600",28
114,2000-12-14T00:00:00,SNOW,GHCND:USC00475335,",,0,",43
115,2000-12-14T00:00:00,SNWD,GHCND:USC00475335,",,0,",102
116,2000-12-14T00:00:00,TMAX,GHCND:USC00475335,",,0,1600",-94
117,2000-12-14T00:00:00,TMIN,GHCND:USC00475335,",,0,1600",-206
118,2000-12-14T00:00:00,TOBS,GHCND:USC00475335,",,0,1600",-100
119,2000-12-14T00:00:00,PRCP,GHCND:USC00475364,",,0,0800",25
120,2000-12-14T00:00:00,SNOW,GHCND:USC00475364,",,0,",41
121,2000-12-14T00:00:00,SNWD,GHCND:USC00475364,",,0,",178
122,2000-12-14T00:00:00,TMAX,GHCND:USC00475364,",,0,0800",-128
123,2000-12-14T00:00:00,TMIN,GHCND:USC00475364,",,0,0800",-217
124,2000-12-14T00:00:00,TOBS,GHCND:USC00475364,",,0,0800",-167
125,2000-12-14T00:00:00,PRCP,GHCND:USC00475474,",,0,0700",53
126,2000-12-14T00:00:00,SNOW,GHCND:USC00475474,",,0,",25
127,2000-12-14T00:00:00,SNWD,GHCND:USC00475474,",,0,",203
128,2000-12-14T00:00:00,TMAX,GHCND:USC00475474,",,0,0700",-33
129,2000-12-14T00:00:00,TMIN,GHCND:USC00475474,",,0,0700",-178
130,2000-12-14T00:00:00,TOBS,GHCND:USC00475474,",,0,0700",-72
131,2000-12-14T00:00:00,PRCP,GHCND:USC00475516,",,0,0700",28
132,2000-12-14T00:00:00,SNOW,GHCND:USC00475516,",,0,",51
133,2000-12-14T00:00:00,SNWD,GHCND:USC00475516,",,0,",178
134,2000-12-14T00:00:00,TMAX,GHCND:USC00475516,",,0,0700",-128
135,2000-12-14T00:00:00,TMIN,GHCND:USC00475516,",I,0,0700",-194
136,2000-12-14T00:00:00,TOBS,GHCND:USC00475516,",,0,0700",-183
137,2000-12-14T00:00:00,PRCP,GHCND:USC00475525,"T,,0,1630",0
138,2000-12-14T00:00:00,SNOW,GHCND:USC00475525,",,0,",13
139,2000-12-14T00:00:00,TMAX,GHCND:USC00475525,",,0,1630",-122
140,2000-12-14T00:00:00,TMIN,GHCND:USC00475525,",,0,1630",-256
141,2000-12-14T00:00:00,TOBS,GHCND:USC00475525,",,0,1630",-161
142,2000-12-14T00:00:00,PRCP,GHCND:USC00475563,",,0,1700",20
143,2000-12-14T00:00:00,SNOW,GHCND:USC00475563,",,0,",41
144,2000-12-14T00:00:00,SNWD,GHCND:USC00475563,",,0,",127
145,2000-12-14T00:00:00,TMAX,GHCND:USC00475563,",,0,1700",-72
146,2000-12-14T00:00:00,TMIN,GHCND:USC00475563,",,0,1700",-217
147,2000-12-14T00:00:00,TOBS,GHCND:USC00475563,",,0,1700",-128
148,2000-12-14T00:00:00,WT06,GHCND:USC00475563,",,0,",1
