,date,datatype,station,attributes,value
0,2000-06-04T00:00:00,TOBS,GHCND:USC00473038,",,0,1900",117
1,2000-06-04T00:00:00,PRCP,GHCND:USC00473040,",,0,0600",0
2,2000-06-04T00:00:00,SNOW,GHCND:USC00473040,"P,,0,",0
3,2000-06-04T00:00:00,SNWD,GHCND:USC00473040,"P,,0,",0
4,2000-06-04T00:00:00,PRCP,GHCND:USC00473058,",,0,0800",0
5,2000-06-04T00:00:00,SNOW,GHCND:USC00473058,"P,,0,",0
6,2000-06-04T00:00:00,SNWD,GHCND:USC00473058,"P,,0,",0
7,2000-06-04T00:00:00,TMAX,GHCND:USC00473058,",,0,0800",172
8,2000-06-04T00:00:00,TMIN,GHCND:USC00473058,",,0,0800",100
9,2000-06-04T00:00:00,TOBS,GHCND:USC00473058,",,0,0800",111
10,2000-06-04T00:00:00,PRCP,GHCND:USC00473174,"P,,0,0630",0
11,2000-06-04T00:00:00,SNOW,GHCND:USC00473174,"P,,0,",0
12,2000-06-04T00:00:00,SNWD,GHCND:USC00473174,"P,,0,",0
13,2000-06-04T00:00:00,TMAX,GHCND:USC00473174,",,0,0630",161
14,2000-06-04T00:00:00,TMIN,GHCND:USC00473174,",,0,0630",83
15,2000-06-04T00:00:00,TOBS,GHCND:USC00473174,",,0,0630",106
16,2000-06-04T00:00:00,PRCP,GHCND:USC00473182,",,0,0800",36
17,2000-06-04T00:00:00,SNOW,GHCND:USC00473182,"P,,0,",0
18,2000-06-04T00:00:00,SNWD,GHCND:USC00473182,"P,,0,",0
19,2000-06-04T00:00:00,PRCP,GHCND:USC00473186,",,0,0800",25
20,2000-06-04T00:00:00,SNOW,GHCND:USC00473186,",,0,",0
21,2000-06-04T00:00:00,SNWD,GHCND:USC00473186,",,0,",0
22,2000-06-04T00:00:00,TMAX,GHCND:USC00473186,",,0,0800",189
23,2000-06-04T00:00:00,TMIN,GHCND:USC00473186,",,0,0800",61
24,2000-06-04T00:00:00,TOBS,GHCND:USC00473186,",,0,0800",83
25,2000-06-04T00:00:00,PRCP,GHCND:USC00473271,",,0,0800",185
26,2000-06-04T00:00:00,SNOW,GHCND:USC00473271,"P,,0,",0
27,2000-06-04T00:00:00,SNWD,GHCND:USC00473271,"P,,0,",0
28,2000-06-04T00:00:00,TMAX,GHCND:USC00473271,",,0,0800",206
29,2000-06-04T00:00:00,TMIN,GHCND:USC00473271,",,0,0800",106
30,2000-06-04T00:00:00,TOBS,GHCND:USC00473271,",,0,0800",133
31,2000-06-04T00:00:00,PRCP,GHCND:USC00473332,",,0,0700",0
32,2000-06-04T00:00:00,SNOW,GHCND:USC00473332,"P,,0,",0
33,2000-06-04T00:00:00,SNWD,GHCND:USC00473332,"P,,0,",0
34,2000-06-04T00:00:00,TMAX,GHCND:USC00473332,",,0,0700",194
35,2000-06-04T00:00:00,TMIN,GHCND:USC00473332,",,0,0700",56
36,2000-06-04T00:00:00,TOBS,GHCND:USC00473332,",,0,0700",106
37,2000-06-04T00:00:00,PRCP,GHCND:USC00473405,",,0,0800",345
38,2000-06-04T00:00:00,SNOW,GHCND:USC00473405,"P,,0,",0
39,2000-06-04T00:00:00,SNWD,GHCND:USC00473405,"P,,0,",0
40,2000-06-04T00:00:00,TMAX,GHCND:USC00473405,",,0,0800",128
41,2000-06-04T00:00:00,TMIN,GHCND:USC00473405,",,0,0800",61
42,2000-06-04T00:00:00,TOBS,GHCND:USC00473405,",,0,0800",78
43,2000-06-04T00:00:00,PRCP,GHCND:USC00473453,",,0,0800",13
44,2000-06-04T00:00:00,SNOW,GHCND:USC00473453,"P,,0,",0
45,2000-06-04T00:00:00,SNWD,GHCND:USC00473453,"P,,0,",0
46,2000-06-04T00:00:00,TMAX,GHCND:USC00473453,",,0,0800",189
47,2000-06-04T00:00:00,TMIN,GHCND:USC00473453,",,0,0800",100
48,2000-06-04T00:00:00,TOBS,GHCND:USC00473453,",,0,0800",111
49,2000-06-04T00:00:00,PRCP,GHCND:USC00473511,",,0,1300",53
50,2000-06-04T00:00:00,SNOW,GHCND:USC00473511,",,0,",0
51,2000-06-04T00:00:00,SNWD,GHCND:USC00473511,",,0,",0
52,2000-06-04T00:00:00,TMAX,GHCND:USC00473511,",,0,1300",189
53,2000-06-04T00:00:00,TMIN,GHCND:USC00473511,",,0,1300",94
54,2000-06-04T00:00:00,TOBS,GHCND:USC00473511,",,0,1300",94
55,2000-06-04T00:00:00,PRCP,GHCND:USC00473636,",,0,0700",8
56,2000-06-04T00:00:00,SNOW,GHCND:USC00473636,"P,,0,",0
57,2000-06-04T00:00:00,SNWD,GHCND:USC00473636,"P,,0,",0
58,2000-06-04T00:00:00,PRCP,GHCND:USC00473654,",,0,0800",38
59,2000-06-04T00:00:00,SNOW,GHCND:USC00473654,"P,,0,",0
60,2000-06-04T00:00:00,SNWD,GHCND:USC00473654,"P,,0,",0
61,2000-06-04T00:00:00,TMAX,GHCND:USC00473654,",,0,0800",222
62,2000-06-04T00:00:00,TMIN,GHCND:USC00473654,",,0,0800",61
63,2000-06-04T00:00:00,TOBS,GHCND:USC00473654,",,0,0800",128
64,2000-06-04T00:00:00,PRCP,GHCND:USC00473698,"P,,0,0800",0
65,2000-06-04T00:00:00,SNOW,GHCND:USC00473698,"P,,0,",0
66,2000-06-04T00:00:00,SNWD,GHCND:USC00473698,"P,,0,",0
67,2000-06-04T00:00:00,TMAX,GHCND:USC00473698,",,0,0800",194
68,2000-06-04T00:00:00,PRCP,GHCND:USC00473756,",,0,0700",13
69,2000-06-04T00:00:00,SNOW,GHCND:USC00473756,",,0,",0
70,2000-06-04T00:00:00,SNWD,GHCND:USC00473756,",,0,",0
71,2000-06-04T00:00:00,TMAX,GHCND:USC00473756,",,0,0700",200
72,2000-06-04T00:00:00,TMIN,GHCND:USC00473756,",,0,0700",106
73,2000-06-04T00:00:00,TOBS,GHCND:USC00473756,",,0,0700",122
74,2000-06-04T00:00:00,PRCP,GHCND:USC00473800,",,0,0800",0
75,2000-06-04T00:00:00,SNOW,GHCND:USC00473800,",,0,",0
76,2000-06-04T00:00:00,SNWD,GHCND:USC00473800,",,0,",0
77,2000-06-04T00:00:00,TMAX,GHCND:USC00473800,",,0,0800",194
78,2000-06-04T00:00:00,TMIN,GHCND:USC00473800,",,0,0800",83
79,2000-06-04T00:00:00,TOBS,GHCND:USC00473800,",,0,0800",117
80,2000-06-04T00:00:00,PRCP,GHCND:USC00474080,",,0,1900",224
81,2000-06-04T00:00:00,SNOW,GHCND:USC00474080,"P,,0,",0
82,2000-06-04T00:00:00,SNWD,GHCND:USC00474080,"P,,0,",0
83,2000-06-04T00:00:00,TMAX,GHCND:USC00474080,",I,0,1900",117
84,2000-06-04T00:00:00,TMIN,GHCND:USC00474080,",,0,1900",67
85,2000-06-04T00:00:00,TOBS,GHCND:USC00474080,",,0,1900",67
86,2000-06-04T00:00:00,PRCP,GHCND:USC00474174,",,0,0700",58
87,2000-06-04T00:00:00,SNOW,GHCND:USC00474174,"P,,0,",0
88,2000-06-04T00:00:00,SNWD,GHCND:USC00474174,"P,,0,",0
89,2000-06-04T00:00:00,TMAX,GHCND:USC00474174,",,0,0700",133
90,2000-06-04T00:00:00,TMIN,GHCND:USC00474174,",,0,0700",106
91,2000-06-04T00:00:00,TOBS,GHCND:USC00474174,",,0,0700",106
92,2000-06-04T00:00:00,SNOW,GHCND:USC00474195,"P,,0,",0
93,2000-06-04T00:00:00,SNWD,GHCND:USC00474195,"P,,0,",0
94,2000-06-04T00:00:00,PRCP,GHCND:USC00474366,",,0,0730",66
95,2000-06-04T00:00:00,SNOW,GHCND:USC00474366,",,0,",0
96,2000-06-04T00:00:00,SNWD,GHCND:USC00474366,"P,,0,",0
97,2000-06-04T00:00:00,PRCP,GHCND:USC00474373,",,0,0700",58
98,2000-06-04T00:00:00,SNOW,GHCND:USC00474373,",,0,",0
99,2000-06-04T00:00:00,SNWD,GHCND:USC00474373,",,0,",0
100,2000-06-04T00:00:00,TMAX,GHCND:USC00474373,",,0,0700",206
101,2000-06-04T00:00:00,TMIN,GHCND:USC00474373,",,0,0700",111
102,2000-06-04T00:00:00,TOBS,GHCND:USC00474373,",,0,0700",128
103,2000-06-04T00:00:00,WT01,GHCND:USC00474373,",,0,",1
104,2000-06-04T00:00:00,PRCP,GHCND:USC00474383,",,0,0700",5
105,2000-06-04T00:00:00,SNOW,GHCND:USC00474383,",,0,",0
106,2000-06-04T00:00:00,SNWD,GHCND:USC00474383,",,0,",0
107,2000-06-04T00:00:00,PRCP,GHCND:USC00474404,",,0,0800",51
108,2000-06-04T00:00:00,SNOW,GHCND:USC00474404,"P,,0,",0
109,2000-06-04T00:00:00,SNWD,GHCND:USC00474404,"P,,0,",0
110,2000-06-04T00:00:00,PRCP,GHCND:USC00474457,",,0,1900",18
111,2000-06-04T00:00:00,SNOW,GHCND:USC00474457,",,0,",0
112,2000-06-04T00:00:00,SNWD,GHCND:USC00474457,",,0,",0
113,2000-06-04T00:00:00,TMAX,GHCND:USC00474457,",,0,1900",161
114,2000-06-04T00:00:00,TMIN,GHCND:USC00474457,",,0,1900",100
115,2000-06-04T00:00:00,TOBS,GHCND:USC00474457,",,0,1900",117
116,2000-06-04T00:00:00,PRCP,GHCND:USC00474482,",,0,0700",160
117,2000-06-04T00:00:00,SNOW,GHCND:USC00474482,"P,,0,",0
118,2000-06-04T00:00:00,SNWD,GHCND:USC00474482,"P,,0,",0
119,2000-06-04T00:00:00,WT03,GHCND:USC00474482,",,0,",1
120,2000-06-04T00:00:00,PRCP,GHCND:USC00474523,",,0,0800",13
121,2000-06-04T00:00:00,SNOW,GHCND:USC00474523,"P,,0,",0
122,2000-06-04T00:00:00,SNWD,GHCND:USC00474523,"P,,0,",0
123,2000-06-04T00:00:00,TMAX,GHCND:USC00474523,",,0,0800",217
124,2000-06-04T00:00:00,TMIN,GHCND:USC00474523,",,0,0800",94
125,2000-06-04T00:00:00,TOBS,GHCND:USC00474523,",,0,0800",106
