,date,datatype,station,attributes,value
0,2000-11-25T00:00:00,SNWD,GHCND:USC00475255,",,0,",76
1,2000-11-25T00:00:00,TMAX,GHCND:USC00475255,",,0,0800",-11
2,2000-11-25T00:00:00,TMIN,GHCND:USC00475255,",,0,0800",-106
3,2000-11-25T00:00:00,TOBS,GHCND:USC00475255,",,0,0800",-94
4,2000-11-25T00:00:00,PRCP,GHCND:USC00475286,"P,,0,0800",0
5,2000-11-25T00:00:00,SNOW,GHCND:USC00475286,"P,,0,",0
6,2000-11-25T00:00:00,SNWD,GHCND:USC00475286,",,0,",127
7,2000-11-25T00:00:00,TMAX,GHCND:USC00475286,",,0,0800",50
8,2000-11-25T00:00:00,TMIN,GHCND:USC00475286,",,0,0800",-67
9,2000-11-25T00:00:00,TOBS,GHCND:USC00475286,",,0,0800",-22
10,2000-11-25T00:00:00,PRCP,GHCND:USC00475335,",,0,1600",0
11,2000-11-25T00:00:00,SNOW,GHCND:USC00475335,"P,,0,",0
12,2000-11-25T00:00:00,SNWD,GHCND:USC00475335,",,0,",51
13,2000-11-25T00:00:00,TMAX,GHCND:USC00475335,",,0,1600",33
14,2000-11-25T00:00:00,TMIN,GHCND:USC00475335,",,0,1600",-100
15,2000-11-25T00:00:00,TOBS,GHCND:USC00475335,",I,0,1600",17
16,2000-11-25T00:00:00,PRCP,GHCND:USC00475364,",,0,0800",0
17,2000-11-25T00:00:00,SNOW,GHCND:USC00475364,"P,,0,",0
18,2000-11-25T00:00:00,SNWD,GHCND:USC00475364,",,0,",76
19,2000-11-25T00:00:00,TMAX,GHCND:USC00475364,",,0,0800",17
20,2000-11-25T00:00:00,TMIN,GHCND:USC00475364,",,0,0800",-133
21,2000-11-25T00:00:00,TOBS,GHCND:USC00475364,",,0,0800",-122
22,2000-11-25T00:00:00,PRCP,GHCND:USC00475474,"P,,0,0700",0
23,2000-11-25T00:00:00,SNOW,GHCND:USC00475474,"P,,0,",0
24,2000-11-25T00:00:00,SNWD,GHCND:USC00475474,"P,,0,",0
