,date,datatype,station,attributes,value
0,2000-08-20T00:00:00,SNWD,GHCND:USC00476646,"P,,0,",0
1,2000-08-20T00:00:00,TMAX,GHCND:USC00476646,",,0,0700",228
2,2000-08-20T00:00:00,TMIN,GHCND:USC00476646,",,0,0700",111
3,2000-08-20T00:00:00,TOBS,GHCND:USC00476646,",,0,0700",144
4,2000-08-20T00:00:00,PRCP,GHCND:USC00476678,",,0,0730",0
5,2000-08-20T00:00:00,SNOW,GHCND:USC00476678,",,0,",0
6,2000-08-20T00:00:00,SNWD,GHCND:USC00476678,"P,,0,",0
7,2000-08-20T00:00:00,TMAX,GHCND:USC00476678,",,0,0730",200
8,2000-08-20T00:00:00,TMIN,GHCND:USC00476678,",,0,0730",67
9,2000-08-20T00:00:00,TOBS,GHCND:USC00476678,",,0,0730",111
10,2000-08-20T00:00:00,PRCP,GHCND:USC00476718,",,0,0700",0
11,2000-08-20T00:00:00,SNOW,GHCND:USC00476718,"P,,0,",0
12,2000-08-20T00:00:00,SNWD,GHCND:USC00476718,"P,,0,",0
13,2000-08-20T00:00:00,TMAX,GHCND:USC00476718,",,0,0700",239
14,2000-08-20T00:00:00,TMIN,GHCND:USC00476718,",,0,0700",122
15,2000-08-20T00:00:00,TOBS,GHCND:USC00476718,",,0,0700",144
16,2000-08-20T00:00:00,PRCP,GHCND:USC00476764,",,0,2400",0
17,2000-08-20T00:00:00,SNOW,GHCND:USC00476764,",,0,",0
18,2000-08-20T00:00:00,SNWD,GHCND:USC00476764,",,0,",0
19,2000-08-20T00:00:00,TMAX,GHCND:USC00476764,",,0,2400",200
20,2000-08-20T00:00:00,TMIN,GHCND:USC00476764,",,0,2400",111
21,2000-08-20T00:00:00,TOBS,GHCND:USC00476764,",,0,2400",189
22,2000-08-20T00:00:00,TMAX,GHCND:USC00476772,",,0,0800",222
23,2000-08-20T00:00:00,TMIN,GHCND:USC00476772,",,0,0800",139
24,2000-08-20T00:00:00,TOBS,GHCND:USC00476772,",,0,0800",144
25,2000-08-20T00:00:00,PRCP,GHCND:USC00476827,",,0,0700",0
26,2000-08-20T00:00:00,SNOW,GHCND:USC00476827,",,0,",0
27,2000-08-20T00:00:00,SNWD,GHCND:USC00476827,",,0,",0
28,2000-08-20T00:00:00,TMAX,GHCND:USC00476827,",,0,0700",250
29,2000-08-20T00:00:00,TMIN,GHCND:USC00476827,",,0,0700",133
30,2000-08-20T00:00:00,TOBS,GHCND:USC00476827,",,0,0700",167
31,2000-08-20T00:00:00,PRCP,GHCND:USC00476838,"P,,0,0700",0
32,2000-08-20T00:00:00,SNOW,GHCND:USC00476838,"P,,0,",0
33,2000-08-20T00:00:00,SNWD,GHCND:USC00476838,"P,,0,",0
34,2000-08-20T00:00:00,PRCP,GHCND:USC00476859,",,0,0800",0
35,2000-08-20T00:00:00,SNOW,GHCND:USC00476859,"P,,0,",0
36,2000-08-20T00:00:00,SNWD,GHCND:USC00476859,"P,,0,",0
37,2000-08-20T00:00:00,TMAX,GHCND:USC00476859,",,0,0800",233
38,2000-08-20T00:00:00,TMIN,GHCND:USC00476859,",,0,0800",72
39,2000-08-20T00:00:00,TOBS,GHCND:USC00476859,",,0,0800",139
40,2000-08-20T00:00:00,PRCP,GHCND:USC00476922,"P,,0,0800",0
41,2000-08-20T00:00:00,SNOW,GHCND:USC00476922,"P,,0,",0
42,2000-08-20T00:00:00,SNWD,GHCND:USC00476922,"P,,0,",0
43,2000-08-20T00:00:00,TMAX,GHCND:USC00476922,",,0,0800",206
44,2000-08-20T00:00:00,TMIN,GHCND:USC00476922,",,0,0800",178
45,2000-08-20T00:00:00,TOBS,GHCND:USC00476922,",,0,0800",200
46,2000-08-20T00:00:00,PRCP,GHCND:USC00477015,"P,,0,0800",0
47,2000-08-20T00:00:00,SNOW,GHCND:USC00477015,"P,,0,",0
