,date,datatype,station,attributes,value
0,2000-11-22T00:00:00,AWND,GHCND:USW00004845,",,W,",34
1,2000-11-22T00:00:00,FMTM,GHCND:USW00004845,",,W,",829
2,2000-11-22T00:00:00,PGTM,GHCND:USW00004845,",,W,",849
3,2000-11-22T00:00:00,PRCP,GHCND:USW00004845,",,W,",0
4,2000-11-22T00:00:00,TAVG,GHCND:USW00004845,",,W,",-56
5,2000-11-22T00:00:00,TMAX,GHCND:USW00004845,",,W,",-11
6,2000-11-22T00:00:00,TMIN,GHCND:USW00004845,",,W,",-100
7,2000-11-22T00:00:00,WDF2,GHCND:USW00004845,",,W,",310
8,2000-11-22T00:00:00,WDF5,GHCND:USW00004845,",,W,",320
9,2000-11-22T00:00:00,WSF2,GHCND:USW00004845,",,W,",80
10,2000-11-22T00:00:00,WSF5,GHCND:USW00004845,",,W,",98
11,2000-11-22T00:00:00,AWND,GHCND:USW00014837,",,X,",19
12,2000-11-22T00:00:00,FMTM,GHCND:USW00014837,",,X,",1011
13,2000-11-22T00:00:00,PGTM,GHCND:USW00014837,",,W,",1010
14,2000-11-22T00:00:00,PRCP,GHCND:USW00014837,",,0,2400",0
15,2000-11-22T00:00:00,SNOW,GHCND:USW00014837,",,0,",0
16,2000-11-22T00:00:00,SNWD,GHCND:USW00014837,",,0,",25
17,2000-11-22T00:00:00,TAVG,GHCND:USW00014837,",,W,",-78
18,2000-11-22T00:00:00,TMAX,GHCND:USW00014837,",,0,2400",-44
19,2000-11-22T00:00:00,TMIN,GHCND:USW00014837,",,0,2400",-111
20,2000-11-22T00:00:00,WDF2,GHCND:USW00014837,",,X,",10
21,2000-11-22T00:00:00,WDF5,GHCND:USW00014837,",,X,",10
22,2000-11-22T00:00:00,WESD,GHCND:USW00014837,",,0,",0
23,2000-11-22T00:00:00,WSF2,GHCND:USW00014837,",,X,",67
24,2000-11-22T00:00:00,WSF5,GHCND:USW00014837,",,X,",80
25,2000-11-22T00:00:00,AWND,GHCND:USW00014839,",,X,",38
26,2000-11-22T00:00:00,FMTM,GHCND:USW00014839,",,X,",737
27,2000-11-22T00:00:00,PGTM,GHCND:USW00014839,",,W,",742
28,2000-11-22T00:00:00,PRCP,GHCND:USW00014839,",,0,2400",0
29,2000-11-22T00:00:00,SNOW,GHCND:USW00014839,",,0,",0
30,2000-11-22T00:00:00,SNWD,GHCND:USW00014839,"T,,0,",0
31,2000-11-22T00:00:00,TAVG,GHCND:USW00014839,",,W,",-50
32,2000-11-22T00:00:00,TMAX,GHCND:USW00014839,",,0,2400",-17
33,2000-11-22T00:00:00,TMIN,GHCND:USW00014839,",,0,2400",-89
34,2000-11-22T00:00:00,WDF2,GHCND:USW00014839,",,X,",310
35,2000-11-22T00:00:00,WDF5,GHCND:USW00014839,",,X,",300
36,2000-11-22T00:00:00,WESD,GHCND:USW00014839,",,0,",0
37,2000-11-22T00:00:00,WSF2,GHCND:USW00014839,",,X,",80
38,2000-11-22T00:00:00,WSF5,GHCND:USW00014839,",,X,",98
39,2000-11-22T00:00:00,AWND,GHCND:USW00014897,",,X,",24
40,2000-11-22T00:00:00,FMTM,GHCND:USW00014897,",,X,",1147
41,2000-11-22T00:00:00,PGTM,GHCND:USW00014897,",,W,",1226
42,2000-11-22T00:00:00,PRCP,GHCND:USW00014897,"T,,0,0700",0
43,2000-11-22T00:00:00,SNOW,GHCND:USW00014897,",,0,",0
44,2000-11-22T00:00:00,SNWD,GHCND:USW00014897,",,0,",51
45,2000-11-22T00:00:00,TAVG,GHCND:USW00014897,",,W,",-89
46,2000-11-22T00:00:00,TMAX,GHCND:USW00014897,",,0,2400",-56
47,2000-11-22T00:00:00,TMIN,GHCND:USW00014897,",,0,2400",-122
48,2000-11-22T00:00:00,WDF2,GHCND:USW00014897,",,X,",360
49,2000-11-22T00:00:00,WDF5,GHCND:USW00014897,",,X,",340
